City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Shadegan,IR,75.2,clear sky,30.65,48.66,ديوانية شيخ عبود الذياب آل سالم
271,Coxim,BR,89.44,scattered clouds,-18.51,-54.76,Hotel Avenida
272,Jacareacanga,BR,75.4,moderate rain,-6.22,-57.75,Casa do Ian😎
274,Kattivakkam,IN,80.6,moderate rain,13.22,80.32,St. Joseph Thirumana mandapam
281,Mtwara,TZ,77.34,light rain,-10.27,40.18,Til Hotels
282,Kidal,ML,88.84,broken clouds,18.44,1.41,
287,Ranong,TH,78.03,moderate rain,9.97,98.63,Tinidee Hotel@Ranong
294,Samarai,PG,80.19,clear sky,-10.62,150.67,Nuli Sapi
296,Wawa,NG,76.93,scattered clouds,9.9,4.42,
297,Lucea,JM,84.2,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
298,Lala,PH,76.84,overcast clouds,7.97,123.75,Bhongshera
