City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Leningradskiy,RU,69.38,178.42,24.26,90,85,4.32,overcast clouds
268,Villa Union,MX,23.2,-106.23,89.6,70,90,8.05,overcast clouds
269,Sungairaya,ID,0.7,108.9,76.91,86,100,4.76,overcast clouds
270,Robertsport,LR,6.75,-11.37,79.18,83,100,10.56,light rain
271,Ozinki,RU,51.18,49.68,48.88,47,75,9.73,broken clouds
272,Kaitangata,NZ,-46.28,169.85,55.0,74,35,4.0,scattered clouds
273,Norman Wells,CA,65.28,-126.83,24.8,62,75,9.17,broken clouds
274,Muroto,JP,33.28,134.15,71.6,64,40,10.29,scattered clouds
275,Mar Del Plata,AR,-38.0,-57.56,57.2,62,0,3.36,clear sky
276,Markova,UA,48.68,24.41,50.22,87,65,3.87,broken clouds
277,Sao Miguel Do Araguaia,BR,-13.28,-50.16,86.72,38,64,1.36,broken clouds
278,Upington,ZA,-28.45,21.26,60.8,13,2,2.24,clear sky
279,Katsina,NG,12.99,7.6,83.71,24,0,5.21,clear sky
280,The Valley,AI,18.22,-63.06,86.0,79,40,9.17,scattered clouds
281,Novouzensk,RU,50.46,48.14,48.96,47,31,8.41,scattered clouds
282,Sakyla,FI,61.03,22.33,46.4,93,40,5.82,shower rain
283,High Level,CA,58.52,-117.14,41.0,56,75,14.99,broken clouds
284,Lewiston,US,44.1,-70.21,48.2,57,0,3.36,clear sky
285,Sovetskiy,RU,61.36,63.58,41.85,94,100,5.19,overcast clouds
286,Pastavy,BY,55.12,26.83,50.04,96,100,5.64,light rain
287,Narsaq,GL,60.92,-46.05,51.8,43,100,17.22,drizzle
288,Hasaki,JP,35.73,140.83,68.0,100,75,2.24,mist
289,Gien,FR,47.69,2.63,50.0,92,100,5.17,overcast clouds
290,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,73,90,11.41,overcast clouds
291,Mushie,CD,-3.02,16.9,73.49,93,78,1.34,broken clouds
292,Westport,US,41.14,-73.36,55.0,87,100,17.43,overcast clouds
293,Oron,NG,4.83,8.23,75.6,89,99,4.54,moderate rain
294,Gizo,SB,-8.1,156.84,85.23,74,97,12.01,moderate rain
295,Georgetown,MY,5.41,100.34,77.0,88,20,3.36,few clouds
296,Pedro Velho,BR,-6.44,-35.22,71.76,89,7,7.67,clear sky
297,Kautokeino,NO,69.01,23.04,34.81,88,83,9.1,broken clouds
298,Torbay,CA,47.67,-52.73,46.0,75,20,12.75,few clouds
299,Coracora,PE,-15.03,-73.78,52.68,59,98,6.38,light rain
300,Abu Dhabi,AE,24.47,54.37,84.2,70,0,4.7,clear sky
301,Laguna,US,38.42,-121.42,88.0,19,1,9.17,clear sky
302,Sur,OM,22.57,59.53,82.15,50,0,16.44,clear sky
303,Gort,IE,53.07,-8.82,48.2,87,40,9.17,scattered clouds
304,Honolulu,US,21.31,-157.86,82.4,69,75,5.82,broken clouds
305,Sao Filipe,CV,14.9,-24.5,78.04,77,36,8.81,scattered clouds
306,Sokolka,PL,53.41,23.5,48.0,100,100,13.22,light rain
307,Lar,IN,26.2,83.97,75.7,67,3,4.25,clear sky
308,Sampit,ID,-2.53,112.95,75.22,87,96,1.45,overcast clouds
309,Lebu,CL,-37.62,-73.65,50.38,81,0,18.3,clear sky
310,Chapais,CA,49.78,-74.85,46.4,49,1,9.17,clear sky
311,Lere,NG,10.39,8.57,71.35,54,0,3.51,clear sky
312,Ust-Nera,RU,64.57,143.2,29.82,93,100,6.26,overcast clouds
313,Sandviken,SE,60.62,16.77,44.01,82,7,4.0,clear sky
314,Moroni,KM,-11.7,43.26,77.99,80,7,2.73,clear sky
315,San Quintin,MX,30.48,-115.95,83.3,37,0,13.56,clear sky
316,Mehamn,NO,71.04,27.85,37.26,76,85,8.77,overcast clouds
317,Sorland,NO,67.67,12.69,45.72,73,14,22.59,few clouds
318,Lagoa,PT,39.05,-27.98,69.1,76,49,17.2,light rain
319,Pachino,IT,36.72,15.09,53.6,93,20,4.7,few clouds
320,Tiksi,RU,71.69,128.87,9.32,93,4,5.06,clear sky
321,Healdsburg,US,38.61,-122.87,91.99,20,20,3.36,few clouds
322,Sangar,RU,63.92,127.47,20.77,85,100,8.03,light snow
323,Salo,IT,45.61,10.53,48.99,70,33,6.93,scattered clouds
324,Ipixuna,BR,-1.76,-48.8,77.0,78,20,8.05,few clouds
325,Barabai,ID,-2.58,115.38,76.19,80,100,0.94,overcast clouds
326,Krasnoselkup,RU,65.7,82.47,33.33,98,98,8.95,overcast clouds
327,Pevek,RU,69.7,170.31,25.11,93,86,13.24,overcast clouds
328,Omsukchan,RU,62.53,155.8,34.27,76,100,7.34,overcast clouds
329,Nago,JP,26.59,127.98,71.6,83,1,5.82,clear sky
330,Arcata,US,40.87,-124.08,73.99,82,20,12.75,few clouds
331,Am Timan,TD,11.03,20.28,75.92,77,2,6.51,clear sky
332,Olsztyn,PL,53.78,20.49,42.8,93,75,6.93,broken clouds
333,Davila,PH,18.47,120.58,77.0,94,40,4.7,scattered clouds
334,Sheridan,US,44.83,-106.92,68.0,22,20,25.28,few clouds
335,Aswan,EG,24.09,32.91,83.93,27,2,11.59,clear sky
336,Kirensk,RU,57.79,108.11,21.58,93,83,2.91,broken clouds
337,Homer,US,59.64,-151.55,46.4,70,1,2.26,clear sky
338,Praia Da Vitoria,PT,38.73,-27.07,66.2,82,75,17.07,broken clouds
339,Aransas Pass,US,27.91,-97.15,87.01,74,1,12.75,clear sky
340,Egvekinot,RU,66.32,-179.17,24.64,94,5,2.48,clear sky
341,Esperance,AU,-33.87,121.9,50.0,100,4,9.17,clear sky
342,Coronel Oviedo,PY,-25.42,-56.45,80.11,35,0,8.57,clear sky
343,Kendari,ID,-3.94,122.5,78.8,80,68,2.66,broken clouds
344,Princeton,US,25.54,-80.41,84.99,78,75,6.26,broken clouds
345,Ponta Do Sol,PT,32.67,-17.1,71.6,68,20,16.11,few clouds
346,Chara,RU,56.91,118.26,19.94,82,100,4.68,overcast clouds
347,Noumea,NC,-22.28,166.46,78.01,88,100,2.24,overcast clouds
348,Sobolevo,RU,54.43,31.9,51.06,92,86,7.14,overcast clouds
349,Berdigestyakh,RU,62.1,126.7,21.09,86,100,14.43,overcast clouds
350,Charters Towers,AU,-20.1,146.27,77.76,51,20,14.05,few clouds
351,Broken Hill,AU,-31.95,141.43,73.4,27,0,10.29,clear sky
352,Lufilufi,WS,-13.87,-171.6,87.8,74,75,12.75,broken clouds
353,Sorong,ID,-0.88,131.25,79.09,85,83,7.07,broken clouds
354,Sola,VU,-13.88,167.55,82.4,83,75,5.82,light intensity shower rain
355,Ilulissat,GL,69.22,-51.1,33.8,74,100,4.7,overcast clouds
356,Avera,US,33.19,-82.53,77.0,88,90,5.82,overcast clouds
357,Umm Kaddadah,SD,13.6,26.69,88.0,22,4,3.65,clear sky
358,Tucupita,VE,9.06,-62.05,77.97,89,95,5.12,moderate rain
359,Amazar,RU,53.86,120.88,25.14,88,100,10.07,overcast clouds
360,Mulege,MX,26.88,-111.98,87.62,51,3,9.51,clear sky
361,Alofi,NU,-19.06,-169.92,77.0,65,75,21.92,broken clouds
362,Liangxiang,CN,39.73,116.14,55.99,62,0,3.98,clear sky
363,Grand-Bourg,GP,15.88,-61.31,78.8,94,16,5.82,few clouds
